# C 0:0.015:11
# Mn 1e-06:0.03:5
# Si 1e-06:0.03:5
# Cr 1e-06:0.03:5
# Ni 1e-06:0.03:5
file,macro,C,Mn,Si,Cr,Ni
../results/00220.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.03,1e-06
../results/00221.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.03,0.00750075
../results/00222.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.03,0.015000499999999998
../results/00223.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.03,0.02250025
../results/00224.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.03,0.03
../results/00225.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.03,1e-06,1e-06
../results/00226.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.03,1e-06,0.00750075
../results/00227.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.03,1e-06,0.015000499999999998
../results/00228.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.03,1e-06,0.02250025
../results/00229.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.03,1e-06,0.03
../results/00230.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.03,0.00750075,1e-06
../results/00231.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.03,0.00750075,0.00750075
../results/00232.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.03,0.00750075,0.015000499999999998
../results/00233.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.03,0.00750075,0.02250025
../results/00234.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.03,0.00750075,0.03
../results/00235.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.03,0.015000499999999998,1e-06
../results/00236.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.03,0.015000499999999998,0.00750075
